name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Darnell Mooney,ATL,WR,196.2,16,/players/M/MoonDa00.htm,12.2625
Puka Nacua,LAR,WR,209.6,11,/players/N/NacuPu00.htm,19.054545454545455
Xavier Worthy,KAN,WR,193.2,17,/players/W/WortXa00.htm,11.36470588235294
D.K. Metcalf,SEA,WR,196.2,15,/players/M/MetcDK00.htm,13.08
Alec Pierce,IND,WR,164.4,16,/players/P/PierAl00.htm,10.275
Tank Bigsby,JAX,RB,133.0,16,/players/B/BigsTa00.htm,8.3125
Quentin Johnston,LAC,WR,177.7,15,/players/J/JohnQu02.htm,11.846666666666666
Will Levis,TEN,QB,143.9,12,/players/L/LeviWi00.htm,11.991666666666667
Justin Fields,PIT,QB,127.1,10,/players/F/FielJu00.htm,12.709999999999999
Dak Prescott,DAL,QB,128.5,8,/players/P/PresDa01.htm,16.0625
Keenan Allen,CHI,WR,188.4,15,/players/A/AlleKe00.htm,12.56
Josh Downs,IND,WR,186.5,14,/players/D/DownJo00.htm,13.321428571428571
Cooper Rush,DAL,QB,120.6,12,/players/R/RushCo00.htm,10.049999999999999
Cooper Kupp,LAR,WR,178.0,12,/players/K/KuppCo00.htm,14.833333333333334
Khalil Shakir,BUF,WR,185.5,15,/players/S/ShakKh00.htm,12.366666666666667
Javonte Williams,DEN,RB,165.9,17,/players/W/WillJa10.htm,9.758823529411766
George Pickens,PIT,WR,168.4,14,/players/P/PickGe00.htm,12.028571428571428
Jordan Mason,SFO,RB,119.0,12,/players/M/MasoJo00.htm,9.916666666666666
Nick Westbrook-Ikhine,TEN,WR,138.7,17,/players/W/WestNi00.htm,8.158823529411764
Deebo Samuel,SFO,WR,160.6,15,/players/S/SamuDe00.htm,10.706666666666667
Jalen Tolbert,DAL,WR,155.0,17,/players/T/TolbJa00.htm,9.117647058823529
Alexander Mattison,LVR,RB,144.4,14,/players/M/MattAl01.htm,10.314285714285715
Ray Davis,BUF,RB,122.1,17,/players/D/DaviRa04.htm,7.18235294117647
Joe Flacco,IND,QB,113.0,8,/players/F/FlacJo00.htm,14.125
Jalen McMillan,TAM,WR,138.4,13,/players/M/McMiJa01.htm,10.646153846153847
Austin Ekeler,WAS,RB,138.3,12,/players/E/EkelAu00.htm,11.525
Jerome Ford,CLE,RB,140.0,14,/players/F/FordJe00.htm,10.0
Michael Pittman Jr.,IND,WR,169.8,16,/players/P/PittMi01.htm,10.6125
Mac Jones,JAX,QB,109.1,10,/players/J/JoneMa05.htm,10.91
Gardner Minshew II,LVR,QB,113.3,10,/players/M/MinsGa00.htm,11.33
Mason Rudolph,TEN,QB,111.8,8,/players/R/RudoMa00.htm,13.975
Tyler Allgeier,ATL,RB,109.2,17,/players/A/AllgTy00.htm,6.423529411764706
Aidan O'Connell,LVR,QB,102.5,9,/players/O/OConAi00.htm,11.38888888888889
Demarcus Robinson,LAR,WR,126.5,17,/players/R/RobiDe01.htm,7.4411764705882355
Adam Thielen,CAR,WR,142.5,10,/players/T/ThieAd00.htm,14.25
Jaylen Waddle,MIA,WR,152.6,15,/players/W/WaddJa00.htm,10.173333333333334
